suburb,postcode,local_density_score,neighbor_density_score,latitude,longitude
WODONGA,3689,73.5,83.76111111,-37.67576,144.989793
WODONGA PLAZA,3690,33.5,44.22222222,-36.135717,146.864361
WOLLERT,3750,157,84.76623377,-37.596078,145.005578
WOMBELANO,3401,112,173.8,-36.881534,141.940832
WONGA PARK,3115,123,84.64912281,-37.736734,145.267586
WONGARRA,3221,6,85.7,-38.181608,144.427419
WONGUNGARRA,3862,16,92.375,-37.25564455,147.0451171
WONNANGATTA,3737,2,39.5,-37.13823976,146.8156764
WOOD WOOD,3596,4,9,-35.123806,143.327682
WOODFIELD,3715,352,193.6875,-36.985747,145.739419
WOODSTOCK,3751,68,95.24519231,-37.554655,145.052904
WOOLENOOK,3860,18,97.5,-37.69783613,147.0446286
WOOLSTHORPE,3276,32,39,-38.180923,142.409105
WOOMELANG,3485,2,10.375,-35.711533,142.671962
WOOREEN,3953,21.5,21.0625,-38.40506851,146.0204631
WOORINEN,3589,2,9.928571429,-35.228436,143.441248
WOORINEN SOUTH,3588,17.5,7.714285714,-35.29429,143.470325
WOORNDOO,3272,42,110.875,-37.982186,142.853634
WORROWING,3858,2,22.6875,-37.66889173,146.7419767
WRATHUNG,3860,2,7.125,-37.59554693,146.9492264
WROXHAM,3891,50,63.5,-37.567684,149.538907
WURDIBOLUC,3241,129,127.9230769,-38.20363,143.892824
WYE RIVER,3221,51,83.5,-38.181608,144.427419
WYELANGTA,3237,71,172,-38.716838,143.474392
YAAPEET,3424,22,22,-35.727789,141.930872
YACKANDANDAH,3749,19.5,37.125,-36.357399,146.842075
YALLA-Y-POORA,3378,252,370.25,-37.528792,142.985403
YALLOOK,3571,26,26,-36.36819,144.206865
YAN YEAN,3755,99,107.3141026,-37.563905,145.142035
YANAKIE,3960,34,0,-39.140761,146.360412
YANGOURA,3858,2,53.66666667,-37.82195914,146.5677589
YARRA GLEN,3775,216.5,118.9166667,-37.642852,145.365993
YARRABERB,3516,28,33.375,-36.607616,144.041722
YARRAGON,3823,6,26.44117647,-38.210382,146.065656
YARRAMBAT,3091,142.5,82.77672956,-37.637478,145.136688
YARRAVILLE WEST,3013,26,86.14673913,-37.814183,144.888686
YELLINGBO,3139,354.5,118.5789474,-37.814506,145.532666
YIELIMA,3638,112.5,359.6,-36.03202,145.246572
YORK PLAINS,3477,24,13.78571429,-36.58743626,142.9166939
YOUANMITE,3646,113.5,88.58333333,-36.247446,145.704042
YUROKE,3063,114.5,92.59663866,-37.595015,144.856082
