suburb,postcode,local_density_score,neighbor_density_score,latitude,longitude
CAPE WOOLAMAI,3925,63,63.82142857,-38.528213,145.379683
CAPEL SOUND,3940,25.5,61.2,-38.37363083,144.8754149
CARAMUT,3274,101.5,138.4285714,-37.960778,142.478612
CARDROSS,3496,13,36.5,-34.287804,142.144177
CARISBROOK,3464,54,38.61111111,-37.019811,143.841414
CARLISLE RIVER,3239,431,217,-38.564014,143.448102
CARLTON SOUTH,3053,15.5,85.01507538,-37.803569,144.966112
CARLYLE,3685,36.5,49.83333333,-36.00913619,146.4848179
CARRAJUNG LOWER,3844,34,22.63636364,-38.39234478,146.7391131
CARRAJUNG SOUTH,3844,42,32.5,-38.38123128,146.7999955
CARRUM DOWNS,3201,90,86.984375,-38.092874,145.177905
CASTLEMAINE,3450,117,45.34615385,-37.061635,144.214903
CATUMNAL,3537,114,41.5,-36.079335,143.744455
CAULFIELD NORTH,3161,8.5,82.95343137,-37.873733,145.019929
CAVENDISH,3314,603,290.25,-37.586718,141.935665
CHADSTONE,3148,54,82.36190476,-37.882562,145.090149
CHARLEMONT,3217,62,103.1290323,-38.21558906,144.3683696
CHELSEA,3196,66,77.21875,-38.046479,145.122762
CHILTERN,3683,63,46.05,-36.180787,146.604622
CHIRNSIDE PARK,3116,58.5,98.76538462,-37.737629,145.313086
CHIRRIP,3525,12,24.45,-36.16805671,143.1280301
CHRISTIES,3962,10,29.56666667,-38.5328,146.3929
CHURCHILL,3842,88.5,31.59375,-38.315452,146.414358
CLARINDA,3169,62,80.13227513,-37.945149,145.115271
CLARKEFIELD,3430,14,113.4830508,-37.494056,144.806632
CLEAR LAKE,3401,26,36.41666667,-36.881534,141.940832
CLIFTON HILL,3068,25,84.51980198,-37.790974,144.98622
CLIFTON SPRINGS,3222,112.5,83.35714286,-38.209921,144.572989
CLONBINANE,3658,8,63.5,-37.35670207,145.1574765
CLYDE NORTH,3978,101.5,107.6034483,-38.135009,145.384606
CLYDESDALE,3461,25,42.76923077,-37.287848,144.170995
COBAW,3442,84.5,44.83333333,-37.330661,144.548846
COBBLEBANK,3338,23.5,112,-37.70732038,144.6008548
COBDEN,3266,327,207.55,-38.407094,143.133721
COBRAM,3643,2,63.72222222,-35.955363,145.631874
COCKATOO,3781,102,117.5538462,-37.938471,145.487862
COLAC,3250,98,188.625,-38.311513,143.584742
COLLINGWOOD,3066,5.5,85.02439024,-37.804846,144.986906
CONCONGELLA,3381,2,10.8,-36.988914,142.7154
CONDAH SWAMP,3286,180.5,183,-37.9711005,141.8361176
CONGUPNA,3633,90.5,113.8,-36.307936,145.46296
COOLAROO,3048,110.5,83.9704142,-37.653917,144.923609
CORAL BANK,3691,24,33.625,-36.027154,147.880991
CORIO,3214,21.5,122.375,-38.084781,144.352385
COROROOKE,3254,135,236.7222222,-38.289636,143.52228
COTHAM,3101,39.5,85.40430622,-37.807397,145.036575
COWA,3862,13.5,10.75,-37.39966422,147.1868903
COWWARR,3857,81,60.75,-38.018616,146.694894
CREEK VIEW,3551,24.5,29.95454545,-36.59845103,144.6456354
CRESSY,3322,264,355.7777778,-38.021333,143.743305
CRESWICK,3363,131.5,189.8333333,-37.420588,143.88637
CRIB POINT,3919,56,79.97222222,-38.352327,145.199777
CROOKAYAN,3858,108,5.142857143,-37.48411474,146.6214281
CROYDON HILLS,3136,122,84.38920455,-37.779876,145.282396
CULGOA,3530,4,4,-35.701439,143.152747
CULLA,3315,468.5,227,-37.408371,141.687516
CUNDARE,3251,140,149.8333333,-38.146253,143.5923322
CURDIEVALE,3268,79,145.1875,-38.51854992,142.8644071
CURYO,3483,27.5,15,-35.901765,142.890804
DALLAS,3047,108,84.85057471,-37.681105,144.930247
DALYENONG,3477,72,100.125,-36.8061787,143.4180029
DALYSTON,3992,146,72.16666667,-38.569135,145.534315
DANDENONG SOUTH,3164,100,85.75378788,-38.02243,145.23738
DANDONGADALE,3737,4,32.90909091,-36.554037,146.82759
DARRAWEIT GUIM,3756,67.5,126.4264706,-37.41233,144.956641
DAYLESFORD,3460,59.5,75.46666667,-37.351704,144.144216
DEAKIN UNIVERSITY,3217,254.5,83.0046729,-37.8495,145.109
DEAN,3352,177,190.6666667,-37.482132,143.662387
DEANSIDE,3336,208,86.81147541,-37.7332,144.7041
DEDDICK VALLEY,3888,89.5,22,-37.05839205,148.4725251
DEEP LEAD,3381,4,15.53571429,-36.988914,142.7154
DEEPDENE,3103,1,83.65402844,-37.81141396,145.0658595
DEER PARK EAST,3022,94.5,79.16878981,-37.795937,144.793961
DEER PARK NORTH,3023,305.5,82.48571429,-37.78272,144.770641
